ADCMAX: 32767
kP: 1000.00
kI: 0.00
kD: 25.00
MILLIS,DUTY,TARGET,RAW,AVERAGE
53271,58379,3.00,2.998901,2.997833
53607,58380,3.00,2.997833,2.997986
53944,58382,3.00,2.998596,2.997986
54281,58383,3.00,2.997833,2.998138
54618,58385,3.00,2.998901,2.998138
54955,58385,3.00,2.998138,2.998138
55292,58387,3.00,2.998596,2.998138
55630,58388,3.00,2.997681,2.998291
55967,58390,3.00,2.998138,2.998291
56304,58391,3.00,2.998444,2.998291
56641,58392,3.00,2.997223,2.998291
56979,58395,3.00,2.997833,2.998291
57317,58397,3.00,2.999207,2.998291
57655,58397,3.00,2.997681,2.998444
57993,58399,3.00,2.999207,2.998444
58331,58399,3.00,2.998749,2.998444
58668,58400,3.00,2.998291,2.998596
59005,58401,3.00,2.998901,2.998596
59344,58401,3.00,2.999512,2.998596
59681,58401,3.00,2.999054,2.998596
60018,58402,3.00,2.998749,2.998596
60355,58403,3.00,2.999359,2.998596
60694,58403,3.00,2.999207,2.998596
61030,58403,3.00,2.999969,2.998749
61367,58403,3.00,3.000122,2.998749
61705,58403,3.00,2.999359,2.998749
62043,58403,3.00,2.999359,2.998749
62381,58403,3.00,2.998596,2.998749
62717,58404,3.00,2.998749,2.998749
63055,58405,3.00,2.999664,2.998749
63392,58405,3.00,2.999359,2.998749
63730,58405,3.00,3.000732,2.998749
64067,58405,3.00,2.999817,2.998749
64406,58405,3.00,2.999359,2.998749
64742,58405,3.00,2.999664,2.998901
65081,58405,3.00,2.999817,2.998901
65417,58405,3.00,2.999817,2.998901
65755,58405,3.00,2.999664,2.999054
66092,58405,3.00,2.999359,2.999054
66429,58405,3.00,2.999359,2.999054
66766,58405,3.00,3.000427,2.999207
67104,58405,3.00,3.000122,2.999207
67441,58405,3.00,2.999664,2.999207
67779,58405,3.00,2.999969,2.999359
68117,58405,3.00,2.998444,2.999359
68454,58406,3.00,2.999359,2.999359
68792,58406,3.00,2.997833,2.999359
69130,58408,3.00,2.998444,2.999359
69467,58409,3.00,2.999817,2.999359
69804,58409,3.00,2.999512,2.999359
70141,58409,3.00,3.000275,2.999359
70478,58409,3.00,3.000732,2.999512
70817,58409,3.00,2.999359,2.999512
71153,58409,3.00,2.999664,2.999512
71491,58409,3.00,3.001190,2.999512
71828,58409,3.00,2.999969,2.999512
72165,58409,3.00,2.999359,2.999512
72503,58409,3.00,2.999054,2.999512
72840,58410,3.00,2.998444,2.999512
73178,58411,3.00,2.999969,2.999512
73515,58411,3.00,3.000427,2.999512
73851,58411,3.00,2.999817,2.999512
74189,58411,3.00,3.000275,2.999664
74526,58411,3.00,3.001038,2.999664
74865,58411,3.00,3.000580,2.999664
75201,58411,3.00,3.000427,2.999664
75539,58411,3.00,2.999969,2.999664
75876,58411,3.00,3.000427,2.999664
76214,58411,3.00,2.999359,2.999664
76551,58411,3.00,2.999817,2.999664
76889,58411,3.00,2.999664,2.999664
77228,58411,3.00,2.999664,2.999664
77563,58411,3.00,3.000275,2.999664
77901,58411,3.00,3.000427,2.999664
78238,58411,3.00,3.000427,2.999664
78575,58411,3.00,2.999664,2.999664
78915,58411,3.00,3.000580,2.999817
79252,58411,3.00,3.000580,2.999817
79590,58411,3.00,2.999817,2.999969
79928,58411,3.00,2.999817,2.999969
80265,58411,3.00,3.000885,2.999969
80603,58411,3.00,3.000122,2.999969
80940,58411,3.00,2.999359,2.999969
81276,58411,3.00,3.000580,2.999969
81615,58411,3.00,3.000427,2.999969
81951,58411,3.00,3.000732,2.999969
82289,58411,3.00,2.999664,2.999969
82626,58411,3.00,3.000580,2.999969
82964,58411,3.00,3.000427,2.999969
83301,58411,3.00,2.999969,3.000122
83638,58411,3.00,3.000427,3.000122
83976,58411,3.00,3.000275,3.000122
84313,58411,3.00,2.999512,3.000122
84651,58411,3.00,3.000275,3.000122
84987,58411,3.00,3.000122,3.000122
85325,58411,3.00,2.998901,2.999969
85662,58412,3.00,2.999817,2.999969
86000,58412,3.00,2.999817,2.999969
86338,58412,3.00,3.000275,2.999969
86673,58412,3.00,2.999664,2.999969
87011,58412,3.00,2.999664,2.999969
87349,58412,3.00,2.999664,2.999969
87686,58412,3.00,2.999359,2.999969
88024,58412,3.00,2.999969,2.999969
88361,58412,3.00,2.999817,2.999969
88698,58412,3.00,2.999817,2.999969
89036,58412,3.00,2.999359,2.999969
89374,58412,3.00,2.999817,2.999969
89711,58412,3.00,3.000885,2.999969
90049,58412,3.00,2.999969,2.999969
90387,58412,3.00,2.999664,2.999969
90723,58412,3.00,3.000275,2.999969
91061,58412,3.00,2.999359,2.999817
91399,58412,3.00,3.000732,2.999969
91735,58412,3.00,3.000427,2.999969
92071,58412,3.00,3.000275,2.999969
92409,58412,3.00,3.000427,2.999969
92746,58412,3.00,3.000732,2.999969
93083,58412,3.00,3.000427,2.999969
93421,58412,3.00,3.000275,2.999969
93759,58412,3.00,2.999817,2.999969
94096,58412,3.00,3.000275,2.999969
94434,58412,3.00,2.999664,2.999969
94772,58412,3.00,2.998596,2.999817
95109,58413,3.00,3.000580,2.999817
95447,58413,3.00,3.000885,2.999969
95783,58413,3.00,3.000580,2.999969
96121,58413,3.00,2.999664,2.999969
96458,58413,3.00,3.000580,2.999969
96796,58413,3.00,3.001038,2.999969
97133,58413,3.00,2.999664,2.999969
97472,58413,3.00,3.000275,2.999969
97809,58413,3.00,3.000122,2.999969
98147,58413,3.00,2.999969,2.999969
98484,58413,3.00,3.000427,3.000122
98822,58413,3.00,3.000580,3.000122
99159,58413,3.00,3.000275,3.000122
99496,58413,3.00,2.998901,3.000122
99833,58414,3.00,2.998749,3.000122
100170,58415,3.00,3.000580,3.000122
100509,58415,3.00,2.998901,2.999969
100845,58416,3.00,2.999359,2.999969
101182,58416,3.00,2.999054,2.999969
101520,58417,3.00,2.999512,2.999969
101858,58417,3.00,3.000275,2.999969
102195,58417,3.00,3.000122,2.999969
102531,58417,3.00,3.000580,2.999969
102868,58417,3.00,3.000580,2.999969
103207,58417,3.00,2.999664,2.999969
103543,58417,3.00,3.000732,2.999969
103880,58417,3.00,3.000122,2.999969
104217,58417,3.00,2.999207,2.999969
104554,58418,3.00,2.999512,2.999969
104892,58418,3.00,2.999359,2.999817
105230,58418,3.00,2.998444,2.999817
105567,58419,3.00,3.000885,2.999969
105906,58419,3.00,3.000732,2.999969
106243,58419,3.00,3.000427,2.999817
106579,58419,3.00,3.001038,2.999969
106916,58419,3.00,3.001038,2.999969
107254,58419,3.00,3.000275,2.999969
107590,58419,3.00,2.999664,2.999969
107928,58419,3.00,3.000580,2.999969
108267,58419,3.00,3.000275,2.999969
108604,58419,3.00,3.000427,2.999969
108941,58419,3.00,3.000580,2.999969
109278,58419,3.00,3.000580,2.999969
109617,58419,3.00,3.000885,2.999969
109954,58419,3.00,2.999664,2.999969
110290,58419,3.00,3.000732,2.999969
110627,58419,3.00,3.000885,3.000122
110966,58419,3.00,3.000275,3.000122
111302,58419,3.00,3.000732,3.000122
111640,58419,3.00,3.000427,3.000122
111978,58419,3.00,3.000885,3.000275
112316,58419,3.00,2.999664,3.000275
112652,58419,3.00,3.000580,3.000275
112990,58419,3.00,3.001190,3.000275
113328,58419,3.00,3.000732,3.000275
113666,58419,3.00,3.000427,3.000275
114002,58419,3.00,3.000275,3.000275
114340,58419,3.00,3.001038,3.000275
114677,58419,3.00,3.000122,3.000275
115016,58419,3.00,3.000275,3.000275
115352,58419,3.00,3.000275,3.000275
115689,58419,3.00,2.998901,3.000275
116027,58420,3.00,2.999207,3.000427
116365,58420,3.00,2.999512,3.000275
116702,58420,3.00,2.999512,3.000275
