ADCMAX: 131071
kP: 10000.00
kI: 0.00
kD: 25.00
MILLIS,DUTY,TARGET,RAW,AVERAGE
160749,58402,3.00,2.999825,2.999557
161772,58402,3.00,2.999748,2.999596
162797,58402,3.00,2.999825,2.999596
163823,58402,3.00,2.999786,2.999596
164848,58402,3.00,2.999214,2.999596
165871,58402,3.00,2.999863,2.999596
166896,58402,3.00,2.999786,2.999596
167922,58402,3.00,2.999748,2.999596
168945,58402,3.00,2.999939,2.999596
169968,58402,3.00,2.999901,2.999596
170993,58402,3.00,2.999863,2.999596
172019,58402,3.00,2.999977,2.999596
173043,58402,3.00,2.999634,2.999596
174066,58402,3.00,2.999519,2.999596
175091,58402,3.00,2.999252,2.999596
176117,58402,3.00,2.998337,2.999557
177141,58403,3.00,2.998528,2.999519
