ADCMAX: 32767
kP: 1000.00
kI: 0.00
kD: 5.00
MILLIS,DUTY,TARGET,RAW,AVERAGE
335,0,3.00,0.052339,0.001526
670,2945,3.00,0.187231,0.007477
1004,5751,3.00,0.326548,0.017548
1339,8417,3.00,0.460982,0.032044
1674,10949,3.00,0.587329,0.050356
2009,13355,3.00,0.706961,0.072481
2343,15642,3.00,0.824152,0.098270
2679,17811,3.00,0.933103,0.127415
3013,19872,3.00,1.036866,0.159764
3349,21829,3.00,1.136052,0.195318
3685,23687,3.00,1.230049,0.233772
4020,25452,3.00,1.319926,0.274972
4356,27127,3.00,1.407361,0.318918
4692,28715,3.00,1.487167,0.365459
5027,30223,3.00,1.565447,0.414289
5363,31653,3.00,1.634724,0.465407
5700,33014,3.00,1.702628,0.518662
6037,34307,3.00,1.776330,0.574206
6372,35526,3.00,1.828669,0.631275
6708,36694,3.00,1.892911,0.690481
7046,37797,3.00,1.947996,0.751366
7382,38846,3.00,2.000030,0.813776
7719,39843,3.00,2.050844,0.877865
8055,40789,3.00,2.099368,0.943480
8391,41687,3.00,2.146977,1.010620
8728,42537,3.00,2.189093,1.078982
9064,43345,3.00,2.229377,1.148717
9400,44113,3.00,2.269051,1.219672
9737,44841,3.00,2.305673,1.291696
10074,45533,3.00,2.341685,1.364788
10411,46189,3.00,2.374035,1.438948
10747,46813,3.00,2.407605,1.514328
11085,47403,3.00,2.435072,1.588641
11422,47966,3.00,2.464675,1.659902
11760,48499,3.00,2.494125,1.727653
12097,49003,3.00,2.518998,1.791894
12435,49482,3.00,2.542039,1.853084
12772,49938,3.00,2.565691,1.911069
13109,50371,3.00,2.588122,1.966155
13446,50781,3.00,2.610401,2.018647
13784,51169,3.00,2.629017,2.068392
14121,51539,3.00,2.648091,2.115696
14458,51889,3.00,2.668996,2.160558
14795,52218,3.00,2.681661,2.203131
15133,52535,3.00,2.699362,2.243568
15470,52834,3.00,2.714164,2.281869
15807,53119,3.00,2.728507,2.318186
16144,53389,3.00,2.742393,2.352824
16481,53645,3.00,2.755211,2.385784
16819,53889,3.00,2.767113,2.416761
17155,54121,3.00,2.780084,2.446364
17491,54340,3.00,2.790918,2.474441
17829,54548,3.00,2.801294,2.501144
18166,54746,3.00,2.811823,2.526475
18503,54933,3.00,2.821436,2.550584
18841,55111,3.00,2.829524,2.573473
19178,55281,3.00,2.838984,2.594989
19515,55441,3.00,2.847224,2.615589
19853,55593,3.00,2.854701,2.635121
20190,55737,3.00,2.862941,2.653737
20527,55873,3.00,2.870113,2.671438
20865,56002,3.00,2.875454,2.688070
21202,56126,3.00,2.882626,2.703940
21539,56243,3.00,2.889340,2.719047
21877,56353,3.00,2.895138,2.733390
22215,56457,3.00,2.900479,2.746971
22551,56556,3.00,2.903989,2.759789
22889,56651,3.00,2.910550,2.771996
23226,56740,3.00,2.913450,2.783593
23564,56826,3.00,2.916959,2.794580
23902,56908,3.00,2.921842,2.805109
24240,56985,3.00,2.927183,2.814875
24577,57057,3.00,2.930998,2.824336
24914,57125,3.00,2.934507,2.833338
25252,57190,3.00,2.937101,2.841731
25589,57252,3.00,2.940763,2.849818
25927,57311,3.00,2.943968,2.857448
26265,57366,3.00,2.945952,2.864620
26603,57419,3.00,2.949461,2.871639
26940,57469,3.00,2.952513,2.878201
27277,57516,3.00,2.954039,2.884304
27615,57561,3.00,2.957091,2.890255
27951,57603,3.00,2.959685,2.895901
28289,57643,3.00,2.960143,2.901242
28624,57682,3.00,2.962737,2.906278
28961,57719,3.00,2.964415,2.911008
29299,57754,3.00,2.965178,2.915586
29636,57788,3.00,2.968383,2.919858
29973,57819,3.00,2.970824,2.923978
30311,57848,3.00,2.970824,2.927793
30650,57877,3.00,2.974181,2.931608
30987,57902,3.00,2.973724,2.934965
31326,57928,3.00,2.975097,2.938322
31662,57952,3.00,2.975707,2.941527
31998,57976,3.00,2.977844,2.944426
32335,57998,3.00,2.978759,2.947172
32673,58019,3.00,2.980895,2.949919
33010,58037,3.00,2.981964,2.952513
33348,58054,3.00,2.981811,2.954955
33685,58072,3.00,2.981658,2.957091
34023,58090,3.00,2.982269,2.959227
34360,58107,3.00,2.985626,2.961363
34698,58121,3.00,2.985168,2.963347
35037,58135,3.00,2.985626,2.965178
35373,58149,3.00,2.988067,2.967010
35710,58160,3.00,2.986541,2.968688
36047,58173,3.00,2.989135,2.970214
36385,58183,3.00,2.988372,2.971740
36723,58194,3.00,2.988830,2.973113
37060,58205,3.00,2.989746,2.974487
37398,58215,3.00,2.990204,2.975707
37736,58224,3.00,2.989746,2.976928
38072,58234,3.00,2.990966,2.978149
38409,58242,3.00,2.991424,2.979217
38748,58250,3.00,2.991882,2.980132
39084,58258,3.00,2.992340,2.981201
39421,58265,3.00,2.992645,2.982116
39758,58272,3.00,2.991577,2.983032
40095,58280,3.00,2.993103,2.983795
40434,58286,3.00,2.993255,2.984558
40770,58292,3.00,2.993713,2.985321
41109,58298,3.00,2.994171,2.986083
41446,58303,3.00,2.994781,2.986694
41782,58308,3.00,2.994629,2.987304
42120,58313,3.00,2.995392,2.987915
42458,58317,3.00,2.996155,2.988678
42795,58320,3.00,2.994171,2.989135
43132,58325,3.00,2.996002,2.989746
43470,58328,3.00,2.995697,2.990204
43807,58332,3.00,2.996307,2.990509
44144,58335,3.00,2.996918,2.991119
44482,58338,3.00,2.994934,2.991424
44819,58343,3.00,2.997528,2.991882
45157,58345,3.00,2.997375,2.992340
45495,58347,3.00,2.996002,2.992645
45832,58351,3.00,2.997375,2.992950
46168,58353,3.00,2.997223,2.993255
46504,58355,3.00,2.997833,2.993713
46842,58357,3.00,2.997681,2.993866
47180,58359,3.00,2.997833,2.994171
47518,58361,3.00,2.997070,2.994476
47856,58363,3.00,2.997833,2.994781
48193,58365,3.00,2.998138,2.994934
48530,58366,3.00,2.997986,2.995239
48867,58368,3.00,2.997375,2.995392
49205,58370,3.00,2.997681,2.995697
49544,58372,3.00,2.996918,2.995849
49881,58375,3.00,2.999054,2.996002
50219,58375,3.00,2.996613,2.996155
50554,58378,3.00,2.997986,2.996307
50892,58379,3.00,2.998596,2.996460
51230,58380,3.00,2.996918,2.996613
51568,58383,3.00,2.998749,2.996765
51905,58384,3.00,2.998444,2.996918
52242,58385,3.00,2.999054,2.997070
52580,58385,3.00,2.999207,2.997223
52918,58385,3.00,2.998901,2.997223
53255,58386,3.00,2.998596,2.997375
53592,58387,3.00,2.999664,2.997528
53929,58387,3.00,2.998444,2.997681
54266,58388,3.00,2.997223,2.997681
54604,58390,3.00,2.998291,2.997681
54943,58391,3.00,2.999054,2.997833
55280,58391,3.00,2.999359,2.997986
55618,58391,3.00,2.999054,2.997986
55957,58391,3.00,2.997986,2.997986
56293,58393,3.00,2.999817,2.998138
56631,58393,3.00,2.999512,2.998138
56969,58393,3.00,2.999512,2.998291
57305,58393,3.00,2.998596,2.998291
57643,58394,3.00,2.999054,2.998291
57980,58394,3.00,2.998901,2.998291
58317,58395,3.00,2.999207,2.998444
58655,58395,3.00,2.998291,2.998444
58994,58396,3.00,2.998138,2.998444
59331,58397,3.00,2.999664,2.998444
59668,58397,3.00,2.999664,2.998596
60006,58397,3.00,2.999969,2.998596
60345,58397,3.00,2.999664,2.998749
60681,58397,3.00,2.999359,2.998749
61018,58397,3.00,2.999969,2.998901
61355,58397,3.00,2.999512,2.998901
61692,58397,3.00,2.999359,2.998901
62029,58397,3.00,2.999359,2.998901
62367,58397,3.00,2.999664,2.999054
62706,58397,3.00,2.999817,2.999054
63042,58397,3.00,2.999817,2.999054
63380,58397,3.00,2.999054,2.999054
63718,58397,3.00,2.999207,2.999054
64056,58397,3.00,2.999969,2.999054
64393,58397,3.00,2.999359,2.999054
64730,58397,3.00,2.998444,2.999054
65069,58398,3.00,2.997833,2.999054
65405,58400,3.00,2.999512,2.999207
65742,58400,3.00,2.998444,2.999207
66079,58401,3.00,2.999512,2.999207
66416,58401,3.00,2.997528,2.999054
66754,58403,3.00,2.999817,2.999207
67091,58403,3.00,2.999664,2.999207
67428,58403,3.00,2.999969,2.999207
67766,58403,3.00,2.999664,2.999207
68104,58403,3.00,2.999817,2.999207
68441,58403,3.00,3.000427,2.999207
68779,58403,3.00,3.000275,2.999359
69117,58403,3.00,3.000122,2.999359
